word	length	score	band	rarity	unique_ratio	repetition_ratio	unpredictability	shortness
puzzle	6	3.617681	hard	4.360744	0.833333	0.166667	3.944942	0.166667
quartz	6	3.140609	hard	4.118616	1.000000	0.000000	3.126581	0.166667
luxury	6	2.614402	hard	3.821695	0.833333	0.166667	3.852631	0.166667
oxygen	6	2.580160	hard	3.533310	1.000000	0.000000	3.810028	0.166667
quickly	7	2.535354	hard	4.022636	1.000000	0.000000	2.612836	0.142857
backup	6	2.437232	hard	3.701831	1.000000	0.000000	3.162398	0.166667
object	6	2.126582	hard	3.496594	1.000000	0.000000	3.232949	0.166667
boxing	6	2.084401	hard	3.654196	1.000000	0.000000	2.762829	0.166667
galaxy	6	2.065266	hard	3.669427	0.833333	0.166667	3.432831	0.166667
subject	7	2.052270	hard	3.522593	1.000000	0.000000	3.190386	0.142857
equity	6	2.048781	hard	3.554058	1.000000	0.000000	2.969051	0.166667
bronze	6	2.003472	hard	3.510765	1.000000	0.000000	3.013889	0.166667
vacuum	6	1.991076	hard	3.511177	0.833333	0.166667	3.732205	0.166667
qualify	7	1.983347	hard	3.750112	1.000000	0.000000	2.499811	0.142857
symbol	6	1.967280	hard	3.370052	1.000000	0.000000	3.324207	0.166667
frozen	6	1.947123	hard	3.449324	1.000000	0.000000	3.089311	0.166667
phoenix	7	1.930465	hard	3.273252	1.000000	0.000000	3.654808	0.142857
bankruptcy	10	1.930332	hard	3.396946	1.000000	0.000000	3.577302	0.100000
injury	6	1.928099	hard	3.624447	1.000000	0.000000	2.608186	0.166667
firmly	6	1.917939	hard	3.321905	1.000000	0.000000	3.375629	0.166667
pickup	6	1.896793	hard	3.650517	0.833333	0.166667	3.232124	0.166667
sexual	6	1.850169	hard	3.345142	1.000000	0.000000	3.215117	0.166667
hybrid	6	1.844628	hard	3.317699	1.000000	0.000000	3.277886	0.166667
unlock	6	1.820065	hard	3.347688	1.000000	0.000000	3.163929	0.166667
makeup	6	1.819580	hard	3.404362	1.000000	0.000000	3.016627	0.166667
