word	variant	variant_in_input	rule
advise	advize	no	ise_ize
behaviour	behavior	no	our_or
catalog	catalogue	yes	og_ogue
catalogue	catalog	yes	ogue_og
center	centre	yes	exact_pair_us_to_uk
centre	center	yes	exact_pair_uk_to_us
colour	color	no	our_or
compromise	compromize	no	ise_ize
cruise	cruize	no	ise_ize
defence	defense	yes	exact_pair_uk_to_us
defense	defence	yes	exact_pair_us_to_uk
dialogue	dialog	no	ogue_og
enterprise	enterprize	no	ise_ize
exercise	exercize	no	ise_ize
expertise	expertize	no	ise_ize
favour	favor	no	our_or
flavor	flavour	yes	or_our
flavour	flavor	yes	our_or
franchise	franchize	no	ise_ize
honour	honor	no	our_or
labour	labor	no	our_or
licence	license	yes	exact_pair_uk_to_us
license	licence	yes	exact_pair_us_to_uk
likewise	likewize	no	ise_ize
merchandise	merchandize	no	ise_ize
offense	offence	no	exact_pair_us_to_uk
optimization	optimisation	no	ization_isation
organisation	organization	yes	isation_ization
organization	organisation	yes	ization_isation
otherwise	otherwize	no	ise_ize
paradise	paradize	no	ise_ize
praise	praize	no	ise_ize
precise	precize	no	ise_ize
promise	promize	no	ise_ize
realise	realize	no	ise_ize
surprise	surprize	no	ise_ize
theater	theatre	yes	exact_pair_us_to_uk
theatre	theater	yes	exact_pair_uk_to_us
