word	length	score	band	rarity	unique_ratio	repetition_ratio	unpredictability	shortness
oxygène	7	3.544855	hard	4.075844	1.000000	0.000000	4.223580	0.142857
hockey	6	3.093644	hard	4.003296	1.000000	0.000000	3.601369	0.166667
hygiène	7	2.768602	hard	3.920483	1.000000	0.000000	3.444207	0.142857
joyeux	6	2.615189	hard	3.988504	1.000000	0.000000	2.943862	0.166667
webcam	6	2.441861	hard	3.666011	1.000000	0.000000	3.399455	0.166667
sûreté	6	2.427033	hard	3.713382	1.000000	0.000000	3.274442	0.166667
puzzle	6	2.390851	hard	3.914612	0.833333	0.166667	3.484823	0.166667
fraîche	7	2.385973	hard	3.945481	1.000000	0.000000	2.837819	0.142857
rythme	6	2.354522	hard	3.455846	1.000000	0.000000	3.733296	0.166667
gâteau	6	2.337343	hard	3.741382	1.000000	0.000000	3.083866	0.166667
célèbre	7	2.320772	hard	3.587358	1.000000	0.000000	3.527263	0.142857
coûteux	7	2.289475	hard	3.932803	1.000000	0.000000	2.726417	0.142857
chèque	6	2.274812	hard	3.897158	1.000000	0.000000	2.652920	0.166667
hôpital	7	2.272930	hard	3.768729	1.000000	0.000000	3.061502	0.142857
diplôme	7	2.271423	hard	3.630476	1.000000	0.000000	3.361780	0.142857
aperçu	6	2.254860	hard	3.531734	1.000000	0.000000	3.423579	0.166667
garçon	6	2.238326	hard	3.778795	1.000000	0.000000	2.859251	0.166667
quartz	6	2.230087	hard	3.628899	1.000000	0.000000	3.175294	0.166667
goûter	6	2.226420	hard	3.826850	1.000000	0.000000	2.736956	0.166667
chaîne	6	2.210617	hard	3.874324	1.000000	0.000000	2.610312	0.166667
copyright	9	2.196250	hard	3.537247	1.000000	0.000000	3.631128	0.111111
crypto	6	2.155451	hard	3.393791	1.000000	0.000000	3.582018	0.166667
envoyé	6	2.150667	hard	3.497600	1.000000	0.000000	3.348020	0.166667
chômage	7	2.149739	hard	3.969408	1.000000	0.000000	2.444858	0.142857
fidèle	6	1.968268	hard	3.514290	1.000000	0.000000	3.048513	0.166667
diabète	7	1.961114	hard	3.351028	1.000000	0.000000	3.525697	0.142857
widget	6	1.949490	hard	3.517601	1.000000	0.000000	3.014195	0.166667
mystère	7	1.943259	hard	3.529637	1.000000	0.000000	3.109215	0.142857
hypnose	7	1.942566	hard	3.342960	1.000000	0.000000	3.516603	0.142857
baptême	7	1.934983	hard	3.637594	1.000000	0.000000	2.861109	0.142857
château	7	1.924030	hard	3.691606	1.000000	0.000000	2.727154	0.142857
modèle	6	1.917852	hard	3.400002	1.000000	0.000000	3.225844	0.166667
théâtre	7	1.911200	hard	3.759885	0.857143	0.142857	3.161661	0.142857
employé	7	1.910347	hard	3.445906	1.000000	0.000000	3.244937	0.142857
boîtier	7	1.878071	hard	3.635748	1.000000	0.000000	2.783086	0.142857
bronze	6	1.822302	hard	3.436127	1.000000	0.000000	3.009044	0.166667
procès	6	1.821130	hard	3.445643	1.000000	0.000000	2.986538	0.166667
plutôt	6	1.783664	hard	3.712399	0.833333	0.166667	3.051717	0.166667
hybride	7	1.777721	hard	3.556360	1.000000	0.000000	2.812070	0.142857
quinze	6	1.774009	hard	3.520750	1.000000	0.000000	2.754286	0.166667
exécutif	8	1.770638	hard	3.396687	1.000000	0.000000	3.248922	0.125000
budget	6	1.752848	hard	3.271248	1.000000	0.000000	3.269603	0.166667
exposé	6	1.737432	hard	3.355309	1.000000	0.000000	3.063477	0.166667
hypothèse	9	1.731936	hard	3.752527	0.888889	0.111111	2.959204	0.111111
chargé	6	1.725294	hard	3.549756	1.000000	0.000000	2.620589	0.166667
basket	6	1.724566	hard	3.373516	1.000000	0.000000	3.005095	0.166667
objectif	8	1.708110	hard	3.449448	1.000000	0.000000	3.043342	0.125000
parking	7	1.699583	hard	3.486731	1.000000	0.000000	2.851732	0.142857
parfum	6	1.683635	hard	3.255939	1.000000	0.000000	3.203297	0.166667
clôture	7	1.672417	hard	3.430560	1.000000	0.000000	2.935445	0.142857
maître	6	1.671135	hard	3.611512	1.000000	0.000000	2.407398	0.166667
voyage	6	1.670757	hard	3.555574	1.000000	0.000000	2.529228	0.166667
malgré	6	1.649377	hard	3.334139	1.000000	0.000000	2.982826	0.166667
médiathèque	11	1.627901	hard	3.520463	1.000000	0.000000	2.958950	0.090909
ajouté	6	1.624276	hard	3.387086	1.000000	0.000000	2.830804	0.166667
symbole	7	1.622356	hard	3.384835	1.000000	0.000000	2.963296	0.142857
adopté	6	1.599577	hard	3.127604	1.000000	0.000000	3.362853	0.166667
manqué	6	1.596109	hard	3.413981	1.000000	0.000000	2.731354	0.166667
phénomène	9	1.588113	hard	3.488904	0.888889	0.111111	3.328549	0.111111
doublé	6	1.586985	hard	3.387415	1.000000	0.000000	2.776316	0.166667
