word	length	score	band	rarity	unique_ratio	repetition_ratio	unpredictability	shortness
чёрный	6	2.804841	hard	4.260021	1.000000	0.000000	3.130350	0.166667
причём	6	2.246988	hard	4.017576	1.000000	0.000000	2.865390	0.166667
лучший	6	2.161792	hard	3.889174	1.000000	0.000000	3.035434	0.166667
взгляд	6	2.161181	hard	3.673398	1.000000	0.000000	3.531624	0.166667
взгляды	7	2.157894	hard	3.712675	1.000000	0.000000	3.567031	0.142857
бюджет	6	2.142774	hard	3.787102	1.000000	0.000000	3.242508	0.166667
мягкий	6	2.094139	hard	3.615734	1.000000	0.000000	3.565504	0.166667
бывший	6	2.090750	hard	3.873441	1.000000	0.000000	2.966807	0.166667
разъем	6	2.072210	hard	3.898156	1.000000	0.000000	2.882500	0.166667
фэнтези	7	2.061241	hard	3.698259	1.000000	0.000000	3.457567	0.142857
эффект	6	2.038782	hard	4.209676	0.833333	0.166667	2.915877	0.166667
футляр	6	2.031340	hard	3.667246	1.000000	0.000000	3.354129	0.166667
отнюдь	6	2.025165	hard	3.406463	1.000000	0.000000	3.945794	0.166667
функция	7	1.993150	hard	3.831055	1.000000	0.000000	3.051121	0.142857
мощный	6	1.979847	hard	3.723325	1.000000	0.000000	3.148924	0.166667
высший	6	1.963870	hard	3.671300	1.000000	0.000000	3.245192	0.166667
дружба	6	1.862642	hard	3.595430	1.000000	0.000000	3.270546	0.166667
любимый	7	1.853507	hard	3.820408	1.000000	0.000000	2.869510	0.142857
площадь	7	1.849557	hard	3.543442	1.000000	0.000000	3.501743	0.142857
любовь	6	1.844057	hard	3.655543	1.000000	0.000000	3.104626	0.166667
фрукты	6	1.839172	hard	3.684154	1.000000	0.000000	3.031504	0.166667
младший	7	1.835663	hard	3.535310	1.000000	0.000000	3.499965	0.142857
судьба	6	1.828979	hard	3.486531	1.000000	0.000000	3.471731	0.166667
крючок	6	1.815939	hard	3.536046	0.833333	0.166667	4.138800	0.166667
объект	6	1.815894	hard	3.795580	1.000000	0.000000	2.740440	0.166667
служба	6	1.808403	hard	3.539166	1.000000	0.000000	3.320098	0.166667
ребёнок	7	1.784755	hard	3.581005	1.000000	0.000000	3.319548	0.142857
эпизод	6	1.781534	hard	3.634235	1.000000	0.000000	3.061420	0.166667
круглый	7	1.732485	hard	3.654818	1.000000	0.000000	3.072341	0.142857
каждый	6	1.729792	hard	3.728984	1.000000	0.000000	2.766760	0.166667
дышать	6	1.713364	hard	3.663661	1.000000	0.000000	2.892998	0.166667
воздух	6	1.710929	hard	3.577196	1.000000	0.000000	3.088598	0.166667
шампунь	7	1.710529	hard	3.595507	1.000000	0.000000	3.176567	0.142857
бюджетный	9	1.706641	hard	3.746395	1.000000	0.000000	2.997543	0.111111
футбол	6	1.705501	hard	3.586962	1.000000	0.000000	3.058087	0.166667
включая	7	1.700156	hard	3.643294	1.000000	0.000000	3.051164	0.142857
джинсы	6	1.683202	hard	3.401559	1.000000	0.000000	3.452292	0.166667
октябрь	7	1.639757	hard	3.340451	1.000000	0.000000	3.659680	0.142857
ноябрь	6	1.599124	hard	3.343213	1.000000	0.000000	3.462592	0.166667
нибудь	6	1.594199	hard	3.461047	1.000000	0.000000	3.183861	0.166667
рюкзак	6	1.591917	hard	3.541681	0.833333	0.166667	3.795121	0.166667
любить	6	1.580347	hard	3.643598	1.000000	0.000000	2.742862	0.166667
юбилей	6	1.576815	hard	3.638425	1.000000	0.000000	2.749563	0.166667
уютный	6	1.563020	hard	3.758206	1.000000	0.000000	2.453254	0.166667
штрафной	8	1.547803	hard	3.510908	1.000000	0.000000	3.229305	0.125000
будущий	7	1.545619	hard	3.950656	0.857143	0.142857	2.801001	0.142857
кладбище	8	1.533785	hard	3.420387	1.000000	0.000000	3.417153	0.125000
французский	11	1.526011	hard	3.611186	1.000000	0.000000	3.153323	0.090909
музыка	6	1.518072	hard	3.507037	1.000000	0.000000	2.965534	0.166667
сверху	6	1.516274	hard	3.314287	1.000000	0.000000	3.406928	0.166667
случай	6	1.510490	hard	3.508581	1.000000	0.000000	2.950785	0.166667
сквозь	6	1.509903	hard	3.304146	1.000000	0.000000	3.420885	0.166667
окружающий	10	1.499065	hard	3.711442	1.000000	0.000000	2.832661	0.100000
ошибка	6	1.494855	hard	3.312846	1.000000	0.000000	3.378630	0.166667
ведущий	7	1.492919	hard	3.630060	1.000000	0.000000	2.775733	0.142857
ведущая	7	1.483505	hard	3.561444	1.000000	0.000000	2.919911	0.142857
кушать	6	1.472244	hard	3.586118	1.000000	0.000000	2.715702	0.166667
слышать	7	1.467247	hard	3.511488	1.000000	0.000000	3.010999	0.142857
воздушный	9	1.454008	hard	3.653666	1.000000	0.000000	2.838235	0.111111
